t	 V_num	 V_exato	 erro_relativo
0	5	5	0
0.1	4.5	4.52419	0.00534617
0.2	4.05	4.09365	0.0106638
0.3	3.645	3.70409	0.0159529
0.4	3.2805	3.3516	0.0212138
0.5	2.95245	3.03265	0.0264466
0.6	2.6572	2.74406	0.0316514
0.7	2.39148	2.48293	0.0368283
0.8	2.15234	2.24664	0.0419776
0.9	1.9371	2.03285	0.0470994
1	1.74339	1.8394	0.0521937
1.1	1.56905	1.66436	0.0572609
1.2	1.41215	1.50597	0.0623009
1.3	1.27093	1.36266	0.067314
1.4	1.14384	1.23298	0.0723003
1.5	1.02946	1.11565	0.07726
1.6	0.92651	1.00948	0.0821931
1.7	0.833859	0.913418	0.0870998
1.8	0.750473	0.826494	0.0919804
1.9	0.675426	0.747843	0.0968348
2	0.607883	0.676676	0.101663
2.1	0.547095	0.612282	0.106466
2.2	0.492385	0.554016	0.111243
2.3	0.443147	0.501294	0.115994
2.4	0.398832	0.45359	0.12072
2.5	0.358949	0.410425	0.125421
2.6	0.323054	0.371368	0.130097
2.7	0.290749	0.336028	0.134748
2.8	0.261674	0.30405	0.139373
2.9	0.235506	0.275116	0.143974
3	0.211956	0.248935	0.148551
3.1	0.19076	0.225246	0.153103
3.2	0.171684	0.203811	0.15763
3.3	0.154516	0.184416	0.162134
3.4	0.139064	0.166866	0.166613
3.5	0.125158	0.150987	0.171069
3.6	0.112642	0.136619	0.1755
3.7	0.101378	0.123618	0.179908
3.8	0.09124	0.111854	0.184293
3.9	0.082116	0.10121	0.188654
4	0.0739044	0.0915782	0.192991
4.1	0.066514	0.0828634	0.197306
4.2	0.0598626	0.0749779	0.201597
4.3	0.0538763	0.0678428	0.205865
4.4	0.0484887	0.0613867	0.210111
4.5	0.0436398	0.055545	0.214334
4.6	0.0392758	0.0502592	0.218534
4.7	0.0353483	0.0454764	0.222712
4.8	0.0318134	0.0411487	0.226867
4.9	0.0286321	0.0372329	0.231001
5	0.0257689	0.0336897	0.235112
