x	 y_num	 y_exato	 erro_relativo
0	1	1	0
0.1	1.1	1.11034	0.0093141
0.2	1.22	1.24281	0.01835
0.3	1.362	1.39972	0.0269466
0.4	1.5282	1.58365	0.0350137
0.5	1.72102	1.79744	0.0425174
0.6	1.94312	2.04424	0.0494637
0.7	2.19743	2.32751	0.0558844
0.8	2.48718	2.65108	0.0618254
0.9	2.8159	3.01921	0.0673392
1	3.18748	3.43656	0.072479
1.1	3.60623	3.90833	0.0772961
1.2	4.07686	4.44023	0.0818374
1.3	4.60454	5.03859	0.0861453
1.4	5.195	5.7104	0.0902569
1.5	5.8545	6.46338	0.0942049
1.6	6.58995	7.30606	0.098017
1.7	7.40894	8.24789	0.101717
1.8	8.31983	9.29929	0.105326
1.9	9.33182	10.4718	0.108861
