t	 T_num	 T_exato	 erro_relativo
0	100	100	0
0.1	99.25	99.2537	3.76563e-005
0.2	98.5075	98.5149	7.51206e-005
0.3	97.7724	97.7834	0.000112391
0.4	97.0447	97.0592	0.000149467
0.5	96.3243	96.3422	0.000186347
0.6	95.611	95.6323	0.000223029
0.7	94.9049	94.9295	0.000259512
0.8	94.2059	94.2337	0.000295795
0.9	93.5138	93.5448	0.000331877
1	92.8287	92.8628	0.000367755
1.1	92.1504	92.1876	0.000403428
1.2	91.4789	91.519	0.000438896
1.3	90.8141	90.8572	0.000474157
1.4	90.1559	90.2019	0.00050921
1.5	89.5044	89.5531	0.000544053
1.6	88.8593	88.9108	0.000578685
1.7	88.2207	88.2749	0.000613105
1.8	87.5885	87.6453	0.000647311
1.9	86.9626	87.0219	0.000681302
2	86.343	86.4048	0.000715078
2.1	85.7296	85.7938	0.000748636
2.2	85.1223	85.1889	0.000781975
2.3	84.5211	84.59	0.000815095
2.4	83.9259	83.9971	0.000847994
2.5	83.3366	83.4101	0.00088067
2.6	82.7532	82.8289	0.000913124
2.7	82.1757	82.2535	0.000945352
2.8	81.6039	81.6838	0.000977355
2.9	81.0379	81.1198	0.00100913
3	80.4775	80.5614	0.00104068
3.1	79.9228	80.0085	0.001072
3.2	79.3735	79.4612	0.00110309
3.3	78.8298	78.9193	0.00113394
3.4	78.2915	78.3828	0.00116457
3.5	77.7586	77.8516	0.00119496
3.6	77.231	77.3257	0.00122512
3.7	76.7087	76.8051	0.00125504
3.8	76.1916	76.2896	0.00128472
3.9	75.6797	75.7793	0.00131417
4	75.1729	75.274	0.00134338
4.1	74.6712	74.7738	0.00137235
4.2	74.1744	74.2785	0.00140108
4.3	73.6827	73.7882	0.00142956
4.4	73.1959	73.3027	0.00145781
4.5	72.7139	72.8221	0.00148581
4.6	72.2368	72.3463	0.00151357
4.7	71.7644	71.8752	0.00154108
4.8	71.2968	71.4088	0.00156835
4.9	70.8338	70.947	0.00159537
5	70.3755	70.4898	0.00162214
5.1	69.9217	70.0372	0.00164867
5.2	69.4725	69.589	0.00167494
5.3	69.0278	69.1454	0.00170097
5.4	68.5875	68.7061	0.00172674
5.5	68.1516	68.2712	0.00175227
5.6	67.7201	67.8407	0.00177754
5.7	67.2929	67.4144	0.00180256
5.8	66.87	66.9924	0.00182733
5.9	66.4513	66.5745	0.00185184
6	66.0367	66.1609	0.0018761
6.1	65.6264	65.7513	0.00190011
6.2	65.2201	65.3458	0.00192386
6.3	64.8179	64.9444	0.00194735
6.4	64.4197	64.5469	0.00197059
6.5	64.0255	64.1534	0.00199357
6.6	63.6353	63.7639	0.00201629
6.7	63.2489	63.3781	0.00203875
6.8	62.8664	62.9963	0.00206096
6.9	62.4878	62.6182	0.00208291
7	62.1129	62.2439	0.0021046
7.1	61.7418	61.8733	0.00212603
7.2	61.3744	61.5064	0.0021472
7.3	61.0106	61.1432	0.00216811
7.4	60.6505	60.7835	0.00218876
7.5	60.294	60.4275	0.00220915
7.6	59.9411	60.075	0.00222928
7.7	59.5916	59.726	0.00224915
7.8	59.2457	59.3805	0.00226876
7.9	58.9033	59.0384	0.0022881
8	58.5642	58.6997	0.00230719
8.1	58.2286	58.3644	0.00232601
8.2	57.8963	58.0324	0.00234458
8.3	57.5673	57.7037	0.00236288
8.4	57.2417	57.3783	0.00238092
8.5	56.9193	57.0561	0.0023987
8.6	56.6001	56.7372	0.00241622
8.7	56.2841	56.4214	0.00243348
8.8	55.9712	56.1087	0.00245048
8.9	55.6615	55.7992	0.00246721
9	55.3549	55.4927	0.00248369
9.1	55.0513	55.1893	0.0024999
9.2	54.7508	54.8889	0.00251586
9.3	54.4533	54.5915	0.00253155
9.4	54.1588	54.2971	0.00254698
9.5	53.8672	54.0056	0.00256216
9.6	53.5785	53.717	0.00257707
9.7	53.2927	53.4312	0.00259173
9.8	53.0098	53.1483	0.00260613
9.9	52.7297	52.8683	0.00262027
10	52.4524	52.591	0.00263415
10.1	52.1779	52.3164	0.00264778
10.2	51.9061	52.0446	0.00266114
10.3	51.6371	51.7755	0.00267425
10.4	51.3707	51.5091	0.00268711
10.5	51.107	51.2453	0.00269971
10.6	50.8459	50.9842	0.00271206
10.7	50.5875	50.7256	0.00272415
10.8	50.3316	50.4697	0.00273599
10.9	50.0783	50.2162	0.00274757
11	49.8275	49.9653	0.00275891
11.1	49.5792	49.7169	0.00276999
11.2	49.3334	49.471	0.00278082
11.3	49.0901	49.2275	0.0027914
11.4	48.8492	48.9864	0.00280173
11.5	48.6107	48.7478	0.00281182
11.6	48.3746	48.5115	0.00282165
11.7	48.1408	48.2775	0.00283124
11.8	47.9094	48.0459	0.00284058
11.9	47.6803	47.8166	0.00284968
12	47.4535	47.5896	0.00285854
12.1	47.229	47.3648	0.00286715
12.2	47.0067	47.1423	0.00287552
12.3	46.7866	46.9219	0.00288365
12.4	46.5688	46.7038	0.00289153
12.5	46.3531	46.4879	0.00289918
12.6	46.1396	46.2741	0.00290659
12.7	45.9282	46.0624	0.00291377
12.8	45.7189	45.8528	0.0029207
12.9	45.5117	45.6453	0.00292741
13	45.3066	45.4399	0.00293388
13.1	45.1035	45.2365	0.00294011
13.2	44.9025	45.0351	0.00294612
13.3	44.7034	44.8358	0.00295189
13.4	44.5064	44.6384	0.00295744
13.5	44.3113	44.443	0.00296276
13.6	44.1182	44.2496	0.00296785
13.7	43.927	44.058	0.00297272
13.8	43.7378	43.8684	0.00297737
13.9	43.5504	43.6806	0.00298179
14	43.3649	43.4948	0.00298599
14.1	43.1812	43.3107	0.00298997
14.2	42.9994	43.1286	0.00299373
14.3	42.8194	42.9482	0.00299728
14.4	42.6412	42.7696	0.00300061
14.5	42.4648	42.5928	0.00300372
14.6	42.2902	42.4177	0.00300663
14.7	42.1173	42.2444	0.00300932
14.8	41.9461	42.0728	0.0030118
14.9	41.7767	41.9029	0.00301407
15	41.6089	41.7348	0.00301614
15.1	41.4428	41.5682	0.003018
15.2	41.2784	41.4034	0.00301966
15.3	41.1156	41.2402	0.00302112
15.4	40.9544	41.0786	0.00302237
15.5	40.7949	40.9186	0.00302343
15.6	40.6369	40.7602	0.00302429
15.7	40.4806	40.6034	0.00302495
15.8	40.3258	40.4481	0.00302542
15.9	40.1725	40.2944	0.0030257
16	40.0208	40.1422	0.00302579
16.1	39.8706	39.9916	0.00302568
16.2	39.7219	39.8424	0.00302539
16.3	39.5746	39.6947	0.00302491
16.4	39.4289	39.5485	0.00302425
16.5	39.2846	39.4037	0.00302341
16.6	39.1418	39.2604	0.00302239
16.7	39.0003	39.1185	0.00302118
16.8	38.8603	38.978	0.0030198
16.9	38.7217	38.839	0.00301824
17	38.5845	38.7013	0.00301651
17.1	38.4487	38.5649	0.00301461
17.2	38.3142	38.43	0.00301253
17.3	38.181	38.2963	0.00301029
17.4	38.0492	38.164	0.00300788
17.5	37.9187	38.033	0.00300531
17.6	37.7896	37.9034	0.00300257
17.7	37.6617	37.775	0.00299967
17.8	37.535	37.6479	0.00299661
17.9	37.4097	37.522	0.00299339
18	37.2856	37.3974	0.00299002
18.1	37.1627	37.2741	0.00298649
18.2	37.0411	37.1519	0.00298281
18.3	36.9207	37.031	0.00297897
18.4	36.8015	36.9113	0.00297499
18.5	36.6835	36.7928	0.00297086
18.6	36.5666	36.6754	0.00296659
18.7	36.451	36.5593	0.00296217
18.8	36.3365	36.4443	0.00295761
18.9	36.2231	36.3304	0.00295291
19	36.1109	36.2176	0.00294807
19.1	35.9998	36.106	0.00294309
