t	 N_num	 N_exato	 erro_relativo
0	1000	1000	0
0.1	990	990.05	5.03346e-005
0.2	980.1	980.199	0.000100667
0.3	970.299	970.446	0.000150996
0.4	960.596	960.789	0.000201323
0.5	950.99	951.229	0.000251648
0.6	941.48	941.765	0.00030197
0.7	932.065	932.394	0.000352289
0.8	922.745	923.116	0.000402606
0.9	913.517	913.931	0.00045292
1	904.382	904.837	0.000503232
1.1	895.338	895.834	0.000553541
1.2	886.385	886.92	0.000603848
1.3	877.521	878.095	0.000654152
1.4	868.746	869.358	0.000704454
1.5	860.058	860.708	0.000754753
1.6	851.458	852.144	0.000805049
1.7	842.943	843.665	0.000855343
1.8	834.514	835.27	0.000905635
1.9	826.169	826.959	0.000955924
2	817.907	818.731	0.00100621
2.1	809.728	810.584	0.00105649
2.2	801.631	802.519	0.00110678
2.3	793.614	794.534	0.00115705
2.4	785.678	786.628	0.00120733
2.5	777.821	778.801	0.0012576
2.6	770.043	771.052	0.00130788
2.7	762.343	763.379	0.00135814
2.8	754.719	755.784	0.00140841
2.9	747.172	748.264	0.00145867
3	739.7	740.818	0.00150894
3.1	732.303	733.447	0.00155919
3.2	724.98	726.149	0.00160945
3.3	717.731	718.924	0.0016597
3.4	710.553	711.77	0.00170996
3.5	703.448	704.688	0.0017602
3.6	696.413	697.676	0.00181045
3.7	689.449	690.734	0.00186069
3.8	682.555	683.861	0.00191093
3.9	675.729	677.057	0.00196117
4	668.972	670.32	0.00201141
4.1	662.282	663.65	0.00206164
4.2	655.659	657.047	0.00211187
4.3	649.103	650.509	0.0021621
4.4	642.612	644.036	0.00221233
4.5	636.185	637.628	0.00226255
4.6	629.824	631.284	0.00231277
4.7	623.525	625.002	0.00236299
4.8	617.29	618.783	0.0024132
4.9	611.117	612.626	0.00246342
5	605.006	606.531	0.00251363
5.1	598.956	600.496	0.00256384
5.2	592.966	594.521	0.00261404
5.3	587.037	588.605	0.00266424
5.4	581.166	582.748	0.00271445
5.5	575.355	576.95	0.00276464
5.6	569.601	571.209	0.00281484
5.7	563.905	565.525	0.00286503
5.8	558.266	559.898	0.00291522
5.9	552.683	554.327	0.00296541
6	547.157	548.812	0.0030156
6.1	541.685	543.351	0.00306578
6.2	536.268	537.944	0.00311596
6.3	530.906	532.592	0.00316614
6.4	525.596	527.292	0.00321631
6.5	520.341	522.046	0.00326648
6.6	515.137	516.851	0.00331665
6.7	509.986	511.709	0.00336682
6.8	504.886	506.617	0.00341699
6.9	499.837	501.576	0.00346715
7	494.839	496.585	0.00351731
7.1	489.89	491.644	0.00356747
7.2	484.991	486.752	0.00361762
7.3	480.141	481.909	0.00366777
7.4	475.34	477.114	0.00371792
7.5	470.587	472.367	0.00376807
7.6	465.881	467.666	0.00381822
7.7	461.222	463.013	0.00386836
7.8	456.61	458.406	0.0039185
7.9	452.044	453.845	0.00396864
8	447.523	449.329	0.00401877
8.1	443.048	444.858	0.0040689
8.2	438.618	440.432	0.00411903
8.3	434.231	436.049	0.00416916
8.4	429.889	431.711	0.00421929
8.5	425.59	427.415	0.00426941
8.6	421.334	423.162	0.00431953
8.7	417.121	418.952	0.00436964
8.8	412.95	414.783	0.00441976
8.9	408.82	410.656	0.00446987
9	404.732	406.57	0.00451998
9.1	400.685	402.524	0.00457009
9.2	396.678	398.519	0.00462019
9.3	392.711	394.554	0.00467029
9.4	388.784	390.628	0.00472039
9.5	384.896	386.741	0.00477049
9.6	381.047	382.893	0.00482059
9.7	377.237	379.083	0.00487068
9.8	373.464	375.311	0.00492077
9.9	369.73	371.577	0.00497085
10	366.032	367.879	0.00502094
10.1	362.372	364.219	0.00507102
10.2	358.748	360.595	0.0051211
10.3	355.161	357.007	0.00517118
10.4	351.609	353.455	0.00522125
10.5	348.093	349.938	0.00527132
10.6	344.612	346.456	0.00532139
10.7	341.166	343.009	0.00537146
10.8	337.754	339.596	0.00542152
10.9	334.377	336.216	0.00547158
11	331.033	332.871	0.00552164
11.1	327.723	329.559	0.0055717
11.2	324.446	326.28	0.00562175
11.3	321.201	323.033	0.00567181
11.4	317.989	319.819	0.00572185
11.5	314.809	316.637	0.0057719
11.6	311.661	313.486	0.00582195
11.7	308.544	310.367	0.00587199
11.8	305.459	307.279	0.00592203
11.9	302.404	304.221	0.00597206
12	299.38	301.194	0.0060221
12.1	296.387	298.197	0.00607213
12.2	293.423	295.23	0.00612216
12.3	290.488	292.293	0.00617218
12.4	287.584	289.384	0.00622221
12.5	284.708	286.505	0.00627223
12.6	281.861	283.654	0.00632225
12.7	279.042	280.832	0.00637226
12.8	276.252	278.037	0.00642228
12.9	273.489	275.271	0.00647229
13	270.754	272.532	0.0065223
13.1	268.047	269.82	0.0065723
13.2	265.366	267.135	0.00662231
13.3	262.713	264.477	0.00667231
13.4	260.085	261.846	0.00672231
13.5	257.485	259.24	0.0067723
13.6	254.91	256.661	0.0068223
13.7	252.361	254.107	0.00687229
13.8	249.837	251.579	0.00692228
13.9	247.339	249.075	0.00697226
14	244.865	246.597	0.00702225
14.1	242.417	244.143	0.00707223
14.2	239.992	241.714	0.00712221
14.3	237.593	239.309	0.00717218
14.4	235.217	236.928	0.00722216
14.5	232.864	234.57	0.00727213
14.6	230.536	232.236	0.0073221
14.7	228.23	229.925	0.00737206
14.8	225.948	227.638	0.00742203
14.9	223.689	225.373	0.00747199
15	221.452	223.13	0.00752195
15.1	219.237	220.91	0.0075719
15.2	217.045	218.712	0.00762185
15.3	214.874	216.536	0.00767181
15.4	212.726	214.381	0.00772175
15.5	210.598	212.248	0.0077717
15.6	208.492	210.136	0.00782164
15.7	206.408	208.045	0.00787158
15.8	204.343	205.975	0.00792152
15.9	202.3	203.926	0.00797146
16	200.277	201.897	0.00802139
16.1	198.274	199.888	0.00807132
16.2	196.292	197.899	0.00812125
16.3	194.329	195.93	0.00817118
16.4	192.385	193.98	0.0082211
16.5	190.461	192.05	0.00827102
16.6	188.557	190.139	0.00832094
16.7	186.671	188.247	0.00837086
16.8	184.805	186.374	0.00842077
16.9	182.957	184.52	0.00847068
17	181.127	182.684	0.00852059
17.1	179.316	180.866	0.00857049
17.2	177.523	179.066	0.0086204
17.3	175.747	177.284	0.0086703
17.4	173.99	175.52	0.0087202
17.5	172.25	173.774	0.00877009
17.6	170.527	172.045	0.00881998
17.7	168.822	170.333	0.00886987
17.8	167.134	168.638	0.00891976
17.9	165.463	166.96	0.00896965
18	163.808	165.299	0.00901953
18.1	162.17	163.654	0.00906941
18.2	160.548	162.026	0.00911929
18.3	158.943	160.414	0.00916917
18.4	157.353	158.817	0.00921904
18.5	155.78	157.237	0.00926891
18.6	154.222	155.673	0.00931878
18.7	152.68	154.124	0.00936864
18.8	151.153	152.59	0.00941851
18.9	149.641	151.072	0.00946837
19	148.145	149.569	0.00951822
19.1	146.664	148.08	0.00956808
19.2	145.197	146.607	0.00961793
19.3	143.745	145.148	0.00966778
19.4	142.307	143.704	0.00971763
19.5	140.884	142.274	0.00976748
19.6	139.476	140.858	0.00981732
19.7	138.081	139.457	0.00986716
19.8	136.7	138.069	0.009917
19.9	135.333	136.695	0.00996683
20	133.98	135.335	0.0100167
20.1	132.64	133.989	0.0100665
20.2	131.313	132.655	0.0101163
20.3	130	131.336	0.0101662
20.4	128.7	130.029	0.010216
20.5	127.413	128.735	0.0102658
20.6	126.139	127.454	0.0103156
20.7	124.878	126.186	0.0103654
20.8	123.629	124.93	0.0104152
20.9	122.393	123.687	0.010465
21	121.169	122.456	0.0105149
21.1	119.957	121.238	0.0105647
21.2	118.758	120.032	0.0106145
21.3	117.57	118.837	0.0106643
21.4	116.394	117.655	0.0107141
21.5	115.23	116.484	0.0107639
21.6	114.078	115.325	0.0108137
21.7	112.937	114.178	0.0108634
21.8	111.808	113.042	0.0109132
21.9	110.69	111.917	0.010963
22	109.583	110.803	0.0110128
22.1	108.487	109.701	0.0110626
22.2	107.402	108.609	0.0111124
22.3	106.328	107.528	0.0111621
22.4	105.265	106.459	0.0112119
22.5	104.212	105.399	0.0112617
22.6	103.17	104.35	0.0113114
22.7	102.138	103.312	0.0113612
22.8	101.117	102.284	0.011411
22.9	100.106	101.266	0.0114607
23	99.1048	100.259	0.0115105
23.1	98.1138	99.2613	0.0115602
23.2	97.1326	98.2736	0.01161
23.3	96.1613	97.2957	0.0116597
23.4	95.1997	96.3276	0.0117095
23.5	94.2477	95.3692	0.0117592
23.6	93.3052	94.4202	0.011809
23.7	92.3722	93.4807	0.0118587
23.8	91.4484	92.5506	0.0119085
23.9	90.534	91.6297	0.0119582
24	89.6286	90.718	0.0120079
24.1	88.7323	89.8153	0.0120577
24.2	87.845	88.9216	0.0121074
24.3	86.9666	88.0368	0.0121571
24.4	86.0969	87.1609	0.0122068
24.5	85.2359	86.2936	0.0122566
24.6	84.3836	85.435	0.0123063
24.7	83.5397	84.5849	0.012356
24.8	82.7043	83.7432	0.0124057
24.9	81.8773	82.91	0.0124554
25	81.0585	82.085	0.0125051
25.1	80.2479	81.2682	0.0125548
25.2	79.4455	80.4596	0.0126045
25.3	78.651	79.659	0.0126542
25.4	77.8645	78.8664	0.0127039
25.5	77.0858	78.0817	0.0127536
25.6	76.315	77.3047	0.0128033
25.7	75.5518	76.5355	0.012853
25.8	74.7963	75.774	0.0129027
25.9	74.0484	75.02	0.0129524
26	73.3079	74.2736	0.0130021
26.1	72.5748	73.5345	0.0130517
26.2	71.849	72.8029	0.0131014
26.3	71.1306	72.0785	0.0131511
26.4	70.4192	71.3613	0.0132008
26.5	69.7151	70.6512	0.0132504
26.6	69.0179	69.9482	0.0133001
26.7	68.3277	69.2522	0.0133498
26.8	67.6444	68.5632	0.0133994
26.9	66.968	67.8809	0.0134491
27	66.2983	67.2055	0.0134987
27.1	65.6353	66.5368	0.0135484
27.2	64.979	65.8748	0.0135981
27.3	64.3292	65.2193	0.0136477
27.4	63.6859	64.5703	0.0136973
27.5	63.049	63.9279	0.013747
27.6	62.4186	63.2918	0.0137966
27.7	61.7944	62.662	0.0138463
27.8	61.1764	62.0385	0.0138959
27.9	60.5647	61.4212	0.0139456
28	59.959	60.8101	0.0139952
28.1	59.3594	60.205	0.0140448
28.2	58.7658	59.6059	0.0140944
28.3	58.1782	59.0129	0.0141441
28.4	57.5964	58.4257	0.0141937
28.5	57.0204	57.8443	0.0142433
28.6	56.4502	57.2688	0.0142929
28.7	55.8857	56.6989	0.0143425
28.8	55.3269	56.1348	0.0143922
28.9	54.7736	55.5762	0.0144418
29	54.2259	55.0232	0.0144914
29.1	53.6836	54.4757	0.014541
29.2	53.1468	53.9337	0.0145906
29.3	52.6153	53.397	0.0146402
29.4	52.0891	52.8657	0.0146898
29.5	51.5683	52.3397	0.0147394
29.6	51.0526	51.8189	0.014789
29.7	50.542	51.3033	0.0148386
29.8	50.0366	50.7928	0.0148881
29.9	49.5363	50.2874	0.0149377
30	49.0409	49.7871	0.0149873
30.1	48.5505	49.2917	0.0150369
30.2	48.065	48.8012	0.0150865
30.3	47.5843	48.3156	0.015136
30.4	47.1085	47.8349	0.0151856
30.5	46.6374	47.3589	0.0152352
30.6	46.171	46.8877	0.0152848
30.7	45.7093	46.4212	0.0153343
30.8	45.2522	45.9593	0.0153839
30.9	44.7997	45.502	0.0154334
31	44.3517	45.0492	0.015483
31.1	43.9082	44.601	0.0155326
31.2	43.4691	44.1572	0.0155821
31.3	43.0344	43.7178	0.0156317
31.4	42.6041	43.2828	0.0156812
31.5	42.178	42.8521	0.0157308
31.6	41.7563	42.4257	0.0157803
31.7	41.3387	42.0036	0.0158298
31.8	40.9253	41.5857	0.0158794
31.9	40.516	41.1719	0.0159289
32	40.1109	40.7622	0.0159784
32.1	39.7098	40.3566	0.016028
32.2	39.3127	39.9551	0.0160775
32.3	38.9196	39.5575	0.016127
32.4	38.5304	39.1639	0.0161765
32.5	38.1451	38.7742	0.0162261
32.6	37.7636	38.3884	0.0162756
32.7	37.386	38.0064	0.0163251
32.8	37.0121	37.6283	0.0163746
32.9	36.642	37.2538	0.0164241
33	36.2756	36.8832	0.0164736
33.1	35.9128	36.5162	0.0165231
33.2	35.5537	36.1528	0.0165726
33.3	35.1981	35.7931	0.0166221
33.4	34.8462	35.437	0.0166716
33.5	34.4977	35.0844	0.0167211
33.6	34.1527	34.7353	0.0167706
33.7	33.8112	34.3896	0.0168201
33.8	33.4731	34.0475	0.0168696
33.9	33.1384	33.7087	0.0169191
34	32.807	33.3733	0.0169686
34.1	32.4789	33.0412	0.0170181
34.2	32.1541	32.7124	0.0170675
34.3	31.8326	32.3869	0.017117
34.4	31.5142	32.0647	0.0171665
34.5	31.1991	31.7456	0.017216
34.6	30.8871	31.4298	0.0172654
34.7	30.5782	31.117	0.0173149
34.8	30.2725	30.8074	0.0173643
34.9	29.9697	30.5009	0.0174138
35	29.67	30.1974	0.0174633
35.1	29.3733	29.8969	0.0175127
35.2	29.0796	29.5994	0.0175622
35.3	28.7888	29.3049	0.0176116
35.4	28.5009	29.0133	0.0176611
35.5	28.2159	28.7246	0.0177105
35.6	27.9338	28.4388	0.01776
35.7	27.6544	28.1559	0.0178094
35.8	27.3779	27.8757	0.0178588
35.9	27.1041	27.5983	0.0179083
36	26.8331	27.3237	0.0179577
36.1	26.5647	27.0518	0.0180071
36.2	26.2991	26.7827	0.0180566
36.3	26.0361	26.5162	0.018106
36.4	25.7757	26.2523	0.0181554
36.5	25.518	25.9911	0.0182048
36.6	25.2628	25.7325	0.0182543
